DIWATER;DISKI;DIPUBT;DICENTER;DISEA;DILAKE;weeklyprice;BOOKSTA;NREF;place;region;country;QUAL;ROOMS;BEDROOMS;RESBEGDATE;RESENDDATE;PETS;CAIRCOND;CPOOL;CBBQ;CSAUNA;CJACUZZI;CWASHMACHI;CPARKING;CDISHWASHE;CFIREPLACE;SCBALCONY;SCNOSMOKE;INTERNET;longitude;latitude;id
;;;;;;budget;OK;US3274.10.1;;;;0.8;0.2105263158;0.2;11/10/12 12:00 AM;11/16/12 12:00 AM;0;1;1;1;0;0;1;0;1;0;0;0;1;40.46525;-3.26903;1
close;;;;close;;;OK;ES9510.388.1;Spain;Barcelona;Barcelona;0.8;0.1052631579;0.1333333333;5/23/13 12:00 AM;5/26/13 12:00 AM;0;1;1;0;0;0;1;1;1;0;0;0;1;42.6103499;-8.64464;2
;;close;;;;budget;OK;ES9330.110.1;;;;0.6;0.1578947368;0.2;12/26/12 12:00 AM;1/3/13 12:00 AM;0;1;0;0;0;0;1;1;1;0;0;0;0;50.15729;8.62478;3
;;;;;;;OK;FR7450.120.1;France;Savoie - Haute Savoie;Saint Gervais;0.8;0.3157894737;0.3333333333;3/23/13 12:00 AM;3/30/13 12:00 AM;0;0;1;0;0;0;1;1;1;1;1;1;0;41.48088;2.32534;4
;;close;;;;budget;OK;AT5671.200.4;;;;0.4;0.0526315789;0.0666666667;3/23/13 12:00 AM;3/30/13 12:00 AM;0;0;0;1;0;0;0;1;1;0;1;1;1;41.51272;2.1234099;5
close;;;close;close;;budget;OK;ES9401.112.1;Spain;Costa Brava;Llançà;0.6;0.0526315789;0.0666666667;8/17/13 12:00 AM;9/2/13 12:00 AM;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;6
;;close;;;;;OK;FR1009.150.1;France;Ile-de-France;Paris/9;0.6;0.0526315789;0.0666666667;11/30/12 12:00 AM;12/8/12 12:00 AM;0;0;0;0;0;0;1;0;1;0;1;1;0;42.8082393;-1.6700945;7
close;;close;close;;close;;OK;CH1897.159.1;Switzerland;Lake Geneva Region;Le Bouveret;0.8;0.2105263158;0.2666666667;12/6/12 12:00 AM;12/10/12 12:00 AM;0;0;0;0;0;0;1;1;1;0;1;0;1;41.3086193;1.9941473;8
;;;close;;;;OK;CH1935.603.3;Switzerland;Valais;Verbier;0.6;0.1578947368;0.2;12/29/12 12:00 AM;1/6/13 12:00 AM;0;0;0;0;0;0;0;1;1;0;1;1;1;43.38458;-8.39799;9
